# NOTE 2026-09-18: the Vitni / Vitni Plus frames were first saved into each other's vault
# folders; the vault was swapped back the same day (serials read off the labels: VIT-R1-0010
# = Vitni, VIT-P1-0003 = Vitni Plus). Paths below are where each master now sits.
sku|role|vault_master|web_px
powerverify-cable|hero|P-PowerVerify/PowerVerify_Rev1_Pics/PXL_20260918_150824774.jpg|1200x374
powerverify-cable|label|P-PowerVerify/PowerVerify_Rev1_Pics/PXL_20260918_150842723.jpg|1200x904
powerverify-cable|board|P-PowerVerify/PowerVerify_Rev1_Pics/PXL_20260918_150831453.jpg|1098x1200
powerverify-coupler|hero|P-PowerVerify/PowerVerify_Rev2_Pics/PXL_20260918_150721890.jpg|870x1200
powerverify-coupler|label|P-PowerVerify/PowerVerify_Rev2_Pics/PXL_20260918_150750017.jpg|1200x912
vitni-plus|hero|P-Vitni+/Vitni_Plus_Pics/PXL_20260918_150629786.jpg|715x1200
vitni-plus|label|P-Vitni+/Vitni_Plus_Pics/PXL_20260918_150642665.jpg|455x1200
vitni-plus|detail|P-Vitni+/Vitni_Plus_Pics/PXL_20260918_150657383.jpg|888x1200
vitni|hero|P-Vitni/Vitni_Pics/PXL_20260918_150519826.jpg|440x1200
vitni|label|P-Vitni/Vitni_Pics/PXL_20260918_150534085.jpg|656x1200
vitni|detail|P-Vitni/Vitni_Pics/PXL_20260918_150548812.jpg|1200x832
selfknot|hero|P-SelfKnot/SelfKnot_Pics/PXL_20260918_153134020.jpg|1200x726
selfknot|label|P-SelfKnot/SelfKnot_Pics/PXL_20260918_153142528.jpg|1200x668
ostensor|hero|P-Ostensor/Ostrensor_Pics/PXL_20260918_153630534.jpg|1200x642
ostensor|detail|P-Ostensor/Ostrensor_Pics/PXL_20260918_153643093.jpg|1200x647
ostensor|board|P-Ostensor/Ostrensor_Pics/PXL_20260918_153811470.jpg|1200x619
tamperverify|hero|P-TamperVerify/TamperVerify_Pics/PXL_20260919_171855789.jpg|1200x904
tamperverify|evidence-peel|P-TamperVerify/TamperVerify_Pics/PXL_20260919_172044922.jpg|1200x892
tamperverify|evidence-void|P-TamperVerify/TamperVerify_Pics/PXL_20260919_172125885.jpg|1200x754
